Escenario,Share mínimo (%),Share máximo (%),Puntos de share en juego,Utilidad máxima ($MM),Utilidad en share máx. ($MM),Utilidad resignada ($MM),Costo medio por punto ($MM),Costo marginal 1er tramo ($MM),Costo marginal último tramo ($MM)
Reglas actuales,61.91056665258584,61.91056665258584,0.0,76578.595,76578.595,0.0,0.0,0.0,0.0
Sin R3 (30% Triguetti),65.5620813469314,65.9183180266731,0.3562366797417127,80100.95874999999,79817.31405589999,283.6446941000031,796.2254035874633,796.2253977170001,796.2253977170001
Sin R4 (doble de Rena),63.917506487236736,65.10149633456038,1.1839898473236445,79296.92,78251.1083299,1045.8116700999963,883.2944576881349,529.1235137030001,3365.49122204
Sin R3 ni R4,65.51677629593868,66.21870900609498,0.7019327101562993,80253.4325,79882.02357400002,371.4089259999746,529.1232629937889,529.1235137030001,529.1235137030001
