Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
2 - 3 - 20,23,8,3,3,3,3,3,3,5
2 - 4 - 14,23,8,3,3,3,3,3,3,5
2 - 4 - 15,23,8,3,3,3,3,3,3,5
2 - 4 - 16,23,8,3,3,3,3,3,3,5
2 - 4 - 17,23,8,3,3,3,3,3,3,5
2 - 4 - 18,23,8,3,3,3,3,3,3,5
2 - 4 - 19,23,8,3,3,3,3,3,3,5
2 - 4 - 20,23,8,3,3,3,3,3,3,5
2 - 5 - 14,23,8,3,3,3,3,3,3,5
2 - 5 - 15,23,8,3,3,3,3,3,3,5
2 - 5 - 16,23,8,3,3,3,3,3,3,5
2 - 5 - 17,23,8,3,3,3,3,3,3,5
2 - 5 - 18,23,8,3,3,3,3,3,3,5
2 - 5 - 19,23,8,3,3,3,3,3,3,5
2 - 5 - 20,23,8,3,3,3,3,3,3,5
2 - 6 - 14,23,8,3,3,3,3,3,3,5
2 - 6 - 15,23,8,3,3,3,3,3,3,5
2 - 6 - 16,23,8,3,3,3,3,3,3,5
2 - 6 - 17,23,8,3,3,3,3,3,3,5
2 - 6 - 18,23,8,3,3,3,3,3,3,5
2 - 6 - 19,23,8,3,3,3,3,3,3,5
2 - 6 - 20,23,8,3,3,3,3,3,3,5
2 - 7 - 14,23,8,3,3,3,3,3,3,5
2 - 7 - 15,23,8,3,3,3,3,3,3,5
2 - 7 - 16,23,8,3,3,3,3,3,3,5
2 - 7 - 17,23,8,3,3,3,3,3,3,5
2 - 7 - 18,23,8,3,3,3,3,3,3,5
2 - 7 - 19,23,8,3,3,3,3,3,3,5
2 - 7 - 20,23,8,3,3,3,3,3,3,5
2 - 8 - 14,23,8,3,3,3,3,3,3,5
2 - 8 - 15,23,8,3,3,3,3,3,3,5
2 - 8 - 16,23,8,3,3,3,3,3,3,5
2 - 8 - 17,23,8,3,3,3,3,3,3,5
2 - 8 - 18,23,8,3,3,3,3,3,3,5
2 - 8 - 19,23,8,3,3,3,3,3,3,5
2 - 8 - 20,23,8,3,3,3,3,3,3,5
2 - 9 - 14,23,8,3,3,3,3,3,3,5
2 - 9 - 15,23,8,3,3,3,3,3,3,5
2 - 9 - 16,23,8,3,3,3,3,3,3,5
2 - 9 - 17,23,8,3,3,3,3,3,3,5
2 - 9 - 18,23,8,3,3,3,3,3,3,5
2 - 9 - 19,23,8,3,3,3,3,3,3,5
2 - 9 - 20,23,8,3,3,3,3,3,3,5
2 - 10 - 14,23,8,3,3,3,3,3,3,5
2 - 10 - 15,23,8,3,3,3,3,3,3,5
2 - 10 - 16,23,8,3,3,3,3,3,3,5
2 - 10 - 17,23,8,3,3,3,3,3,3,5
2 - 10 - 18,23,8,3,3,3,3,3,3,5
2 - 10 - 19,23,8,3,3,3,3,3,3,5
2 - 10 - 20,23,8,3,3,3,3,3,3,5
2 - 11 - 14,23,8,3,3,3,3,3,3,5
2 - 11 - 15,23,8,3,3,3,3,3,3,5
2 - 11 - 16,23,8,3,3,3,3,3,3,5
2 - 11 - 17,23,8,3,3,3,3,3,3,5
2 - 11 - 18,23,8,3,3,3,3,3,3,5
2 - 11 - 19,23,8,3,3,3,3,3,3,5
2 - 11 - 20,23,8,3,3,3,3,3,3,5
2 - 12 - 14,22,8,3,2,3,3,3,3,5
2 - 12 - 15,22,8,3,2,3,3,3,3,5
2 - 12 - 16,22,8,3,2,3,3,3,3,5
2 - 12 - 17,22,8,3,2,3,3,3,3,5
2 - 12 - 18,22,8,3,2,3,3,3,3,5
2 - 12 - 19,22,8,3,2,3,3,3,3,5
2 - 12 - 20,22,8,3,2,3,3,3,3,5
2 - 13 - 14,22,8,3,2,3,3,3,3,5
2 - 13 - 15,22,8,3,2,3,3,3,3,5
2 - 13 - 16,22,8,3,2,3,3,3,3,5
2 - 13 - 17,22,8,3,2,3,3,3,3,5
2 - 13 - 18,22,8,3,2,3,3,3,3,5
2 - 13 - 19,22,8,3,2,3,3,3,3,5
2 - 13 - 20,22,8,3,2,3,3,3,3,5
2 - 14 - 15,22,8,3,3,3,3,3,3,4
2 - 14 - 16,22,8,3,3,3,3,3,3,4
2 - 14 - 17,22,8,3,3,3,3,3,3,4
2 - 14 - 18,22,8,3,3,3,3,3,3,4
2 - 14 - 19,22,8,3,3,3,3,3,3,4
2 - 14 - 20,22,8,3,3,3,3,3,3,4
2 - 15 - 16,22,8,3,3,3,3,3,3,4
2 - 15 - 17,22,8,3,3,3,3,3,3,4
