Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
6 - 11 - 14,23,8,3,3,3,3,3,3,5
6 - 11 - 15,23,8,3,3,3,3,3,3,5
6 - 11 - 16,23,8,3,3,3,3,3,3,5
6 - 11 - 17,23,8,3,3,3,3,3,3,5
6 - 11 - 18,23,8,3,3,3,3,3,3,5
6 - 11 - 19,23,8,3,3,3,3,3,3,5
6 - 11 - 20,23,8,3,3,3,3,3,3,5
6 - 12 - 14,22,8,3,2,3,3,3,3,5
6 - 12 - 15,22,8,3,2,3,3,3,3,5
6 - 12 - 16,22,8,3,2,3,3,3,3,5
6 - 12 - 17,22,8,3,2,3,3,3,3,5
6 - 12 - 18,22,8,3,2,3,3,3,3,5
6 - 12 - 19,22,8,3,2,3,3,3,3,5
6 - 12 - 20,22,8,3,2,3,3,3,3,5
6 - 13 - 14,22,8,3,2,3,3,3,3,5
6 - 13 - 15,22,8,3,2,3,3,3,3,5
6 - 13 - 16,22,8,3,2,3,3,3,3,5
6 - 13 - 17,22,8,3,2,3,3,3,3,5
6 - 13 - 18,22,8,3,2,3,3,3,3,5
6 - 13 - 19,22,8,3,2,3,3,3,3,5
6 - 13 - 20,22,8,3,2,3,3,3,3,5
6 - 14 - 15,22,8,3,3,3,3,3,3,4
6 - 14 - 16,22,8,3,3,3,3,3,3,4
6 - 14 - 17,22,8,3,3,3,3,3,3,4
6 - 14 - 18,22,8,3,3,3,3,3,3,4
6 - 14 - 19,22,8,3,3,3,3,3,3,4
6 - 14 - 20,22,8,3,3,3,3,3,3,4
6 - 15 - 16,22,8,3,3,3,3,3,3,4
6 - 15 - 17,22,8,3,3,3,3,3,3,4
6 - 15 - 18,22,8,3,3,3,3,3,3,4
6 - 15 - 19,22,8,3,3,3,3,3,3,4
6 - 15 - 20,22,8,3,3,3,3,3,3,4
6 - 16 - 17,22,8,3,3,3,3,3,3,4
6 - 16 - 18,22,8,3,3,3,3,3,3,4
6 - 16 - 19,22,8,3,3,3,3,3,3,4
6 - 16 - 20,22,8,3,3,3,3,3,3,4
6 - 17 - 18,22,8,3,3,3,3,3,3,4
6 - 17 - 19,22,8,3,3,3,3,3,3,4
6 - 17 - 20,22,8,3,3,3,3,3,3,4
6 - 18 - 19,22,8,3,3,3,3,3,3,4
6 - 18 - 20,22,8,3,3,3,3,3,3,4
6 - 19 - 20,22,8,3,3,3,3,3,3,4
7 - 8 - 14,23,8,3,3,3,3,3,3,5
7 - 8 - 15,23,8,3,3,3,3,3,3,5
7 - 8 - 16,23,8,3,3,3,3,3,3,5
7 - 8 - 17,23,8,3,3,3,3,3,3,5
7 - 8 - 18,23,8,3,3,3,3,3,3,5
7 - 8 - 19,23,8,3,3,3,3,3,3,5
7 - 8 - 20,23,8,3,3,3,3,3,3,5
7 - 9 - 14,23,8,3,3,3,3,3,3,5
7 - 9 - 15,23,8,3,3,3,3,3,3,5
7 - 9 - 16,23,8,3,3,3,3,3,3,5
7 - 9 - 17,23,8,3,3,3,3,3,3,5
7 - 9 - 18,23,8,3,3,3,3,3,3,5
7 - 9 - 19,23,8,3,3,3,3,3,3,5
7 - 9 - 20,23,8,3,3,3,3,3,3,5
7 - 10 - 14,23,8,3,3,3,3,3,3,5
7 - 10 - 15,23,8,3,3,3,3,3,3,5
7 - 10 - 16,23,8,3,3,3,3,3,3,5
7 - 10 - 17,23,8,3,3,3,3,3,3,5
7 - 10 - 18,23,8,3,3,3,3,3,3,5
7 - 10 - 19,23,8,3,3,3,3,3,3,5
7 - 10 - 20,23,8,3,3,3,3,3,3,5
7 - 11 - 14,23,8,3,3,3,3,3,3,5
7 - 11 - 15,23,8,3,3,3,3,3,3,5
7 - 11 - 16,23,8,3,3,3,3,3,3,5
7 - 11 - 17,23,8,3,3,3,3,3,3,5
7 - 11 - 18,23,8,3,3,3,3,3,3,5
7 - 11 - 19,23,8,3,3,3,3,3,3,5
7 - 11 - 20,23,8,3,3,3,3,3,3,5
7 - 12 - 14,22,8,3,2,3,3,3,3,5
7 - 12 - 15,22,8,3,2,3,3,3,3,5
7 - 12 - 16,22,8,3,2,3,3,3,3,5
7 - 12 - 17,22,8,3,2,3,3,3,3,5
7 - 12 - 18,22,8,3,2,3,3,3,3,5
7 - 12 - 19,22,8,3,2,3,3,3,3,5
7 - 12 - 20,22,8,3,2,3,3,3,3,5
7 - 13 - 14,22,8,3,2,3,3,3,3,5
7 - 13 - 15,22,8,3,2,3,3,3,3,5
7 - 13 - 16,22,8,3,2,3,3,3,3,5
7 - 13 - 17,22,8,3,2,3,3,3,3,5
7 - 13 - 18,22,8,3,2,3,3,3,3,5
7 - 13 - 19,22,8,3,2,3,3,3,3,5
7 - 13 - 20,22,8,3,2,3,3,3,3,5
7 - 14 - 15,22,8,3,3,3,3,3,3,4
7 - 14 - 16,22,8,3,3,3,3,3,3,4
7 - 14 - 17,22,8,3,3,3,3,3,3,4
7 - 14 - 18,22,8,3,3,3,3,3,3,4
7 - 14 - 19,22,8,3,3,3,3,3,3,4
7 - 14 - 20,22,8,3,3,3,3,3,3,4
7 - 15 - 16,22,8,3,3,3,3,3,3,4
7 - 15 - 17,22,8,3,3,3,3,3,3,4
7 - 15 - 18,22,8,3,3,3,3,3,3,4
7 - 15 - 19,22,8,3,3,3,3,3,3,4
7 - 15 - 20,22,8,3,3,3,3,3,3,4
7 - 16 - 17,22,8,3,3,3,3,3,3,4
7 - 16 - 18,22,8,3,3,3,3,3,3,4
7 - 16 - 19,22,8,3,3,3,3,3,3,4
7 - 16 - 20,22,8,3,3,3,3,3,3,4
7 - 17 - 18,22,8,3,3,3,3,3,3,4
7 - 17 - 19,22,8,3,3,3,3,3,3,4
7 - 17 - 20,22,8,3,3,3,3,3,3,4
7 - 18 - 19,22,8,3,3,3,3,3,3,4
7 - 18 - 20,22,8,3,3,3,3,3,3,4
7 - 19 - 20,22,8,3,3,3,3,3,3,4
8 - 9 - 14,23,8,3,3,3,3,3,3,5
8 - 9 - 15,23,8,3,3,3,3,3,3,5
8 - 9 - 16,23,8,3,3,3,3,3,3,5
8 - 9 - 17,23,8,3,3,3,3,3,3,5
8 - 9 - 18,23,8,3,3,3,3,3,3,5
8 - 9 - 19,23,8,3,3,3,3,3,3,5
8 - 9 - 20,23,8,3,3,3,3,3,3,5
8 - 10 - 14,23,8,3,3,3,3,3,3,5
8 - 10 - 15,23,8,3,3,3,3,3,3,5
8 - 10 - 16,23,8,3,3,3,3,3,3,5
8 - 10 - 17,23,8,3,3,3,3,3,3,5
8 - 10 - 18,23,8,3,3,3,3,3,3,5
8 - 10 - 19,23,8,3,3,3,3,3,3,5
8 - 10 - 20,23,8,3,3,3,3,3,3,5
8 - 11 - 14,23,8,3,3,3,3,3,3,5
8 - 11 - 15,23,8,3,3,3,3,3,3,5
8 - 11 - 16,23,8,3,3,3,3,3,3,5
8 - 11 - 17,23,8,3,3,3,3,3,3,5
8 - 11 - 18,23,8,3,3,3,3,3,3,5
8 - 11 - 19,23,8,3,3,3,3,3,3,5
8 - 11 - 20,23,8,3,3,3,3,3,3,5
8 - 12 - 14,22,8,3,2,3,3,3,3,5
8 - 12 - 15,22,8,3,2,3,3,3,3,5
8 - 12 - 16,22,8,3,2,3,3,3,3,5
8 - 12 - 17,22,8,3,2,3,3,3,3,5
8 - 12 - 18,22,8,3,2,3,3,3,3,5
8 - 12 - 19,22,8,3,2,3,3,3,3,5
8 - 12 - 20,22,8,3,2,3,3,3,3,5
8 - 13 - 14,22,8,3,2,3,3,3,3,5
8 - 13 - 15,22,8,3,2,3,3,3,3,5
8 - 13 - 16,22,8,3,2,3,3,3,3,5
8 - 13 - 17,22,8,3,2,3,3,3,3,5
8 - 13 - 18,22,8,3,2,3,3,3,3,5
8 - 13 - 19,22,8,3,2,3,3,3,3,5
8 - 13 - 20,22,8,3,2,3,3,3,3,5
8 - 14 - 15,22,8,3,3,3,3,3,3,4
8 - 14 - 16,22,8,3,3,3,3,3,3,4
8 - 14 - 17,22,8,3,3,3,3,3,3,4
8 - 14 - 18,22,8,3,3,3,3,3,3,4
8 - 14 - 19,22,8,3,3,3,3,3,3,4
8 - 14 - 20,22,8,3,3,3,3,3,3,4
8 - 15 - 16,22,8,3,3,3,3,3,3,4
8 - 15 - 17,22,8,3,3,3,3,3,3,4
8 - 15 - 18,22,8,3,3,3,3,3,3,4
8 - 15 - 19,22,8,3,3,3,3,3,3,4
8 - 15 - 20,22,8,3,3,3,3,3,3,4
8 - 16 - 17,22,8,3,3,3,3,3,3,4
8 - 16 - 18,22,8,3,3,3,3,3,3,4
8 - 16 - 19,22,8,3,3,3,3,3,3,4
8 - 16 - 20,22,8,3,3,3,3,3,3,4
8 - 17 - 18,22,8,3,3,3,3,3,3,4
8 - 17 - 19,22,8,3,3,3,3,3,3,4
8 - 17 - 20,22,8,3,3,3,3,3,3,4
8 - 18 - 19,22,8,3,3,3,3,3,3,4
8 - 18 - 20,22,8,3,3,3,3,3,3,4
8 - 19 - 20,22,8,3,3,3,3,3,3,4
9 - 10 - 14,23,8,3,3,3,3,3,3,5
9 - 10 - 15,23,8,3,3,3,3,3,3,5
9 - 10 - 16,23,8,3,3,3,3,3,3,5
9 - 10 - 17,23,8,3,3,3,3,3,3,5
9 - 10 - 18,23,8,3,3,3,3,3,3,5
9 - 10 - 19,23,8,3,3,3,3,3,3,5
9 - 10 - 20,23,8,3,3,3,3,3,3,5
9 - 11 - 14,23,8,3,3,3,3,3,3,5
9 - 11 - 15,23,8,3,3,3,3,3,3,5
9 - 11 - 16,23,8,3,3,3,3,3,3,5
9 - 11 - 17,23,8,3,3,3,3,3,3,5
9 - 11 - 18,23,8,3,3,3,3,3,3,5
9 - 11 - 19,23,8,3,3,3,3,3,3,5
9 - 11 - 20,23,8,3,3,3,3,3,3,5
9 - 12 - 14,22,8,3,2,3,3,3,3,5
9 - 12 - 15,22,8,3,2,3,3,3,3,5
9 - 12 - 16,22,8,3,2,3,3,3,3,5
9 - 12 - 17,22,8,3,2,3,3,3,3,5
9 - 12 - 18,22,8,3,2,3,3,3,3,5
9 - 12 - 19,22,8,3,2,3,3,3,3,5
9 - 12 - 20,22,8,3,2,3,3,3,3,5
9 - 13 - 14,22,8,3,2,3,3,3,3,5
9 - 13 - 15,22,8,3,2,3,3,3,3,5
9 - 13 - 16,22,8,3,2,3,3,3,3,5
9 - 13 - 17,22,8,3,2,3,3,3,3,5
9 - 13 - 18,22,8,3,2,3,3,3,3,5
9 - 13 - 19,22,8,3,2,3,3,3,3,5
9 - 13 - 20,22,8,3,2,3,3,3,3,5
9 - 14 - 15,22,8,3,3,3,3,3,3,4
9 - 14 - 16,22,8,3,3,3,3,3,3,4
9 - 14 - 17,22,8,3,3,3,3,3,3,4
9 - 14 - 18,22,8,3,3,3,3,3,3,4
9 - 14 - 19,22,8,3,3,3,3,3,3,4
9 - 14 - 20,22,8,3,3,3,3,3,3,4
9 - 15 - 16,22,8,3,3,3,3,3,3,4
9 - 15 - 17,22,8,3,3,3,3,3,3,4
9 - 15 - 18,22,8,3,3,3,3,3,3,4
9 - 15 - 19,22,8,3,3,3,3,3,3,4
9 - 15 - 20,22,8,3,3,3,3,3,3,4
9 - 16 - 17,22,8,3,3,3,3,3,3,4
9 - 16 - 18,22,8,3,3,3,3,3,3,4
9 - 16 - 19,22,8,3,3,3,3,3,3,4
9 - 16 - 20,22,8,3,3,3,3,3,3,4
9 - 17 - 18,22,8,3,3,3,3,3,3,4
9 - 17 - 19,22,8,3,3,3,3,3,3,4
9 - 17 - 20,22,8,3,3,3,3,3,3,4
9 - 18 - 19,22,8,3,3,3,3,3,3,4
9 - 18 - 20,22,8,3,3,3,3,3,3,4
9 - 19 - 20,22,8,3,3,3,3,3,3,4
10 - 11 - 14,23,8,3,3,3,3,3,3,5
10 - 11 - 15,23,8,3,3,3,3,3,3,5
10 - 11 - 16,23,8,3,3,3,3,3,3,5
10 - 11 - 17,23,8,3,3,3,3,3,3,5
10 - 11 - 18,23,8,3,3,3,3,3,3,5
10 - 11 - 19,23,8,3,3,3,3,3,3,5
10 - 11 - 20,23,8,3,3,3,3,3,3,5
10 - 12 - 14,22,8,3,2,3,3,3,3,5
10 - 12 - 15,22,8,3,2,3,3,3,3,5
10 - 12 - 16,22,8,3,2,3,3,3,3,5
10 - 12 - 17,22,8,3,2,3,3,3,3,5
10 - 12 - 18,22,8,3,2,3,3,3,3,5
10 - 12 - 19,22,8,3,2,3,3,3,3,5
10 - 12 - 20,22,8,3,2,3,3,3,3,5
10 - 13 - 14,22,8,3,2,3,3,3,3,5
10 - 13 - 15,22,8,3,2,3,3,3,3,5
10 - 13 - 16,22,8,3,2,3,3,3,3,5
10 - 13 - 17,22,8,3,2,3,3,3,3,5
10 - 13 - 18,22,8,3,2,3,3,3,3,5
10 - 13 - 19,22,8,3,2,3,3,3,3,5
10 - 13 - 20,22,8,3,2,3,3,3,3,5
10 - 14 - 15,22,8,3,3,3,3,3,3,4
10 - 14 - 16,22,8,3,3,3,3,3,3,4
10 - 14 - 17,22,8,3,3,3,3,3,3,4
10 - 14 - 18,22,8,3,3,3,3,3,3,4
10 - 14 - 19,22,8,3,3,3,3,3,3,4
10 - 14 - 20,22,8,3,3,3,3,3,3,4
10 - 15 - 16,22,8,3,3,3,3,3,3,4
10 - 15 - 17,22,8,3,3,3,3,3,3,4
10 - 15 - 18,22,8,3,3,3,3,3,3,4
10 - 15 - 19,22,8,3,3,3,3,3,3,4
10 - 15 - 20,22,8,3,3,3,3,3,3,4
10 - 16 - 17,22,8,3,3,3,3,3,3,4
10 - 16 - 18,22,8,3,3,3,3,3,3,4
10 - 16 - 19,22,8,3,3,3,3,3,3,4
10 - 16 - 20,22,8,3,3,3,3,3,3,4
10 - 17 - 18,22,8,3,3,3,3,3,3,4
10 - 17 - 19,22,8,3,3,3,3,3,3,4
10 - 17 - 20,22,8,3,3,3,3,3,3,4
10 - 18 - 19,22,8,3,3,3,3,3,3,4
10 - 18 - 20,22,8,3,3,3,3,3,3,4
10 - 19 - 20,22,8,3,3,3,3,3,3,4
11 - 12 - 14,22,8,3,2,3,3,3,3,5
11 - 12 - 15,22,8,3,2,3,3,3,3,5
11 - 12 - 16,22,8,3,2,3,3,3,3,5
11 - 12 - 17,22,8,3,2,3,3,3,3,5
11 - 12 - 18,22,8,3,2,3,3,3,3,5
11 - 12 - 19,22,8,3,2,3,3,3,3,5
11 - 12 - 20,22,8,3,2,3,3,3,3,5
11 - 13 - 14,22,8,3,2,3,3,3,3,5
11 - 13 - 15,22,8,3,2,3,3,3,3,5
11 - 13 - 16,22,8,3,2,3,3,3,3,5
11 - 13 - 17,22,8,3,2,3,3,3,3,5
11 - 13 - 18,22,8,3,2,3,3,3,3,5
11 - 13 - 19,22,8,3,2,3,3,3,3,5
11 - 13 - 20,22,8,3,2,3,3,3,3,5
11 - 14 - 15,22,8,3,3,3,3,3,3,4
11 - 14 - 16,22,8,3,3,3,3,3,3,4
11 - 14 - 17,22,8,3,3,3,3,3,3,4
11 - 14 - 18,22,8,3,3,3,3,3,3,4
11 - 14 - 19,22,8,3,3,3,3,3,3,4
11 - 14 - 20,22,8,3,3,3,3,3,3,4
11 - 15 - 16,22,8,3,3,3,3,3,3,4
11 - 15 - 17,22,8,3,3,3,3,3,3,4
11 - 15 - 18,22,8,3,3,3,3,3,3,4
11 - 15 - 19,22,8,3,3,3,3,3,3,4
11 - 15 - 20,22,8,3,3,3,3,3,3,4
11 - 16 - 17,22,8,3,3,3,3,3,3,4
11 - 16 - 18,22,8,3,3,3,3,3,3,4
11 - 16 - 19,22,8,3,3,3,3,3,3,4
11 - 16 - 20,22,8,3,3,3,3,3,3,4
11 - 17 - 18,22,8,3,3,3,3,3,3,4
11 - 17 - 19,22,8,3,3,3,3,3,3,4
11 - 17 - 20,22,8,3,3,3,3,3,3,4
11 - 18 - 19,22,8,3,3,3,3,3,3,4
11 - 18 - 20,22,8,3,3,3,3,3,3,4
11 - 19 - 20,22,8,3,3,3,3,3,3,4
12 - 13 - 14,21,8,3,1,3,3,3,3,5
12 - 13 - 15,21,8,3,1,3,3,3,3,5
12 - 13 - 16,21,8,3,1,3,3,3,3,5
12 - 13 - 17,21,8,3,1,3,3,3,3,5
12 - 13 - 18,21,8,3,1,3,3,3,3,5
12 - 13 - 19,21,8,3,1,3,3,3,3,5
12 - 13 - 20,21,8,3,1,3,3,3,3,5
12 - 14 - 15,21,8,3,2,3,3,3,3,4
12 - 14 - 16,21,8,3,2,3,3,3,3,4
12 - 14 - 17,21,8,3,2,3,3,3,3,4
12 - 14 - 18,21,8,3,2,3,3,3,3,4
12 - 14 - 19,21,8,3,2,3,3,3,3,4
12 - 14 - 20,21,8,3,2,3,3,3,3,4
12 - 15 - 16,21,8,3,2,3,3,3,3,4
12 - 15 - 17,21,8,3,2,3,3,3,3,4
12 - 15 - 18,21,8,3,2,3,3,3,3,4
12 - 15 - 19,21,8,3,2,3,3,3,3,4
12 - 15 - 20,21,8,3,2,3,3,3,3,4
12 - 16 - 17,21,8,3,2,3,3,3,3,4
12 - 16 - 18,21,8,3,2,3,3,3,3,4
12 - 16 - 19,21,8,3,2,3,3,3,3,4
12 - 16 - 20,21,8,3,2,3,3,3,3,4
12 - 17 - 18,21,8,3,2,3,3,3,3,4
12 - 17 - 19,21,8,3,2,3,3,3,3,4
12 - 17 - 20,21,8,3,2,3,3,3,3,4
12 - 18 - 19,21,8,3,2,3,3,3,3,4
12 - 18 - 20,21,8,3,2,3,3,3,3,4
12 - 19 - 20,21,8,3,2,3,3,3,3,4
13 - 14 - 15,21,8,3,2,3,3,3,3,4
13 - 14 - 16,21,8,3,2,3,3,3,3,4
13 - 14 - 17,21,8,3,2,3,3,3,3,4
13 - 14 - 18,21,8,3,2,3,3,3,3,4
13 - 14 - 19,21,8,3,2,3,3,3,3,4
13 - 14 - 20,21,8,3,2,3,3,3,3,4
13 - 15 - 16,21,8,3,2,3,3,3,3,4
13 - 15 - 17,21,8,3,2,3,3,3,3,4
13 - 15 - 18,21,8,3,2,3,3,3,3,4
13 - 15 - 19,21,8,3,2,3,3,3,3,4
13 - 15 - 20,21,8,3,2,3,3,3,3,4
13 - 16 - 17,21,8,3,2,3,3,3,3,4
13 - 16 - 18,21,8,3,2,3,3,3,3,4
13 - 16 - 19,21,8,3,2,3,3,3,3,4
13 - 16 - 20,21,8,3,2,3,3,3,3,4
13 - 17 - 18,21,8,3,2,3,3,3,3,4
13 - 17 - 19,21,8,3,2,3,3,3,3,4
13 - 17 - 20,21,8,3,2,3,3,3,3,4
13 - 18 - 19,21,8,3,2,3,3,3,3,4
13 - 18 - 20,21,8,3,2,3,3,3,3,4
13 - 19 - 20,21,8,3,2,3,3,3,3,4
14 - 15 - 16,21,7,3,3,3,3,3,3,3
14 - 15 - 17,21,7,3,3,3,3,3,3,3
14 - 15 - 18,21,7,3,3,3,3,3,3,3
14 - 15 - 19,21,7,3,3,3,3,3,3,3
14 - 15 - 20,21,7,3,3,3,3,3,3,3
14 - 16 - 17,21,7,3,3,3,3,3,3,3
14 - 16 - 18,21,7,3,3,3,3,3,3,3
14 - 16 - 19,21,7,3,3,3,3,3,3,3
14 - 16 - 20,21,7,3,3,3,3,3,3,3
14 - 17 - 18,21,7,3,3,3,3,3,3,3
14 - 17 - 19,21,7,3,3,3,3,3,3,3
14 - 17 - 20,21,7,3,3,3,3,3,3,3
14 - 18 - 19,21,7,3,3,3,3,3,3,3
14 - 18 - 20,21,7,3,3,3,3,3,3,3
14 - 19 - 20,21,7,3,3,3,3,3,3,3
15 - 16 - 17,21,7,3,3,3,3,3,3,3
15 - 16 - 18,21,7,3,3,3,3,3,3,3
15 - 16 - 19,21,7,3,3,3,3,3,3,3
15 - 16 - 20,21,7,3,3,3,3,3,3,3
15 - 17 - 18,21,7,3,3,3,3,3,3,3
15 - 17 - 19,21,7,3,3,3,3,3,3,3
15 - 17 - 20,21,7,3,3,3,3,3,3,3
15 - 18 - 19,21,7,3,3,3,3,3,3,3
15 - 18 - 20,21,7,3,3,3,3,3,3,3
15 - 19 - 20,21,7,3,3,3,3,3,3,3
16 - 17 - 18,21,7,3,3,3,3,3,3,3
16 - 17 - 19,21,7,3,3,3,3,3,3,3
16 - 17 - 20,21,7,3,3,3,3,3,3,3
16 - 18 - 19,21,7,3,3,3,3,3,3,3
16 - 18 - 20,21,7,3,3,3,3,3,3,3
16 - 19 - 20,21,7,3,3,3,3,3,3,3
17 - 18 - 19,21,7,3,3,3,3,3,3,3
17 - 18 - 20,21,7,3,3,3,3,3,3,3
17 - 19 - 20,21,7,3,3,3,3,3,3,3
18 - 19 - 20,21,7,3,3,3,3,3,3,3
