Espacio,Capacidad,Ocupado,Holgura,Limita
Baldosas,5,4,1,No
Empapelado vinílico,8,4,4,No
Apliques de luz,4,4,0,Sí
Bacha y grifería,4,4,0,Sí
Lavavajillas + cocinas,5,5,0,Sí
Mesadas + alacenas,12,8,4,No
