Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
1 - 2 - 3 - 6 - 8 - 9 - 11 - 12 - 13 - 15 - 18 - 19 - 20,28,8,4,4,4,4,3,4,5
1 - 2 - 4 - 5 - 6 - 7 - 9 - 12 - 14 - 16 - 18 - 19 - 20,28,8,4,4,4,4,3,4,5
3 - 4 - 5 - 7 - 8 - 10 - 11 - 13 - 14 - 15 - 16 - 17 - 20,27,8,4,4,4,3,3,4,5
3 - 4 - 5 - 7 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17,27,8,4,4,4,3,3,4,5
